Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,9.6,9.6,9.6,9.6,121.5
2024-03-12 02:30:00,9.589,9.608,9.589,9.608,4587.9
2024-03-12 02:31:00,9.607,9.607,9.6,9.6,111.1
2024-03-12 02:32:00,9.587,9.587,9.587,9.587,7.0
2024-03-12 02:33:00,9.592,9.592,9.592,9.592,3.1
2024-03-12 02:34:00,9.598,9.598,9.598,9.598,42.2
2024-03-12 02:35:00,9.608,9.608,9.608,9.608,1.1
2024-03-12 02:36:00,9.598,9.598,9.597,9.597,105.7
2024-03-12 02:37:00,9.601,9.617,9.601,9.617,2649.5
2024-03-12 02:38:00,9.611,9.611,9.591,9.597,13426.1
2024-03-12 02:39:00,9.604,9.604,9.604,9.604,43.6
2024-03-12 02:40:00,9.601,9.601,9.601,9.601,100.9
2024-03-12 02:41:00,9.603,9.603,9.603,9.603,100.9
2024-03-12 02:42:00,9.601,9.604,9.601,9.604,2421.5
2024-03-12 02:43:00,9.604,9.611,9.603,9.603,2864.6
2024-03-12 02:44:00,9.615,9.622,9.615,9.622,503.7
2024-03-12 02:45:00,9.622,9.622,9.622,9.622,0.0
2024-03-12 02:46:00,9.622,9.622,9.622,9.622,0.0
2024-03-12 02:47:00,9.622,9.622,9.622,9.622,0.0
2024-03-12 02:48:00,9.606,9.606,9.606,9.606,3.1
2024-03-12 02:49:00,9.609,9.609,9.598,9.598,202.0
2024-03-12 02:50:00,9.595,9.595,9.588,9.588,1913.4
2024-03-12 02:51:00,9.586,9.586,9.586,9.586,40.6
2024-03-12 02:52:00,9.582,9.582,9.582,9.582,469.0
2024-03-12 02:53:00,9.58,9.58,9.562,9.562,4723.4
2024-03-12 02:54:00,9.561,9.567,9.561,9.567,2729.0
2024-03-12 02:55:00,9.566,9.567,9.566,9.567,816.6
2024-03-12 02:56:00,9.567,9.567,9.567,9.567,0.0
2024-03-12 02:57:00,9.566,9.566,9.566,9.566,12.1
2024-03-12 02:58:00,9.573,9.573,9.573,9.573,3.1
2024-03-12 02:59:00,9.574,9.574,9.574,9.574,121.8
2024-03-12 03:00:00,9.58,9.58,9.567,9.567,669.9
2024-03-12 03:01:00,9.567,9.567,9.567,9.567,0.0
2024-03-12 03:02:00,9.573,9.573,9.573,9.573,433.8
2024-03-12 03:03:00,9.573,9.573,9.573,9.573,0.0
2024-03-12 03:04:00,9.588,9.588,9.588,9.588,1044.6
2024-03-12 03:05:00,9.588,9.588,9.588,9.588,0.0
2024-03-12 03:06:00,9.587,9.587,9.587,9.587,101.0
2024-03-12 03:07:00,9.582,9.582,9.582,9.582,31.4
2024-03-12 03:08:00,9.582,9.582,9.582,9.582,0.0
2024-03-12 03:09:00,9.573,9.577,9.573,9.577,537.9
2024-03-12 03:10:00,9.558,9.558,9.556,9.556,512.9
2024-03-12 03:11:00,9.555,9.555,9.548,9.548,836.8
2024-03-12 03:12:00,9.547,9.547,9.536,9.536,1256.7
2024-03-12 03:13:00,9.538,9.54,9.538,9.54,7013.4
2024-03-12 03:14:00,9.54,9.54,9.54,9.54,0.0
2024-03-12 03:15:00,9.54,9.54,9.535,9.535,143.6
2024-03-12 03:16:00,9.534,9.534,9.525,9.528,1256.6
2024-03-12 03:17:00,9.528,9.533,9.528,9.533,26.3
2024-03-12 03:18:00,9.524,9.524,9.502,9.507,2501.6
2024-03-12 03:19:00,9.518,9.518,9.518,9.518,210.0
2024-03-12 03:20:00,9.525,9.526,9.522,9.522,1226.1
2024-03-12 03:21:00,9.517,9.517,9.484,9.484,1021.9
2024-03-12 03:22:00,9.46,9.46,9.43,9.439,32860.0
2024-03-12 03:23:00,9.453,9.453,9.432,9.432,618.4
2024-03-12 03:24:00,9.437,9.452,9.437,9.452,209.5
2024-03-12 03:25:00,9.452,9.452,9.452,9.452,0.0
2024-03-12 03:26:00,9.464,9.466,9.464,9.466,105.5
2024-03-12 03:27:00,9.466,9.466,9.466,9.466,0.0
2024-03-12 03:28:00,9.47,9.47,9.462,9.467,1464.0
2024-03-12 03:29:00,9.467,9.467,9.467,9.467,0.0
2024-03-12 03:30:00,9.467,9.467,9.467,9.467,0.0
2024-03-12 03:31:00,9.467,9.467,9.467,9.467,0.0
2024-03-12 03:32:00,9.479,9.49,9.467,9.49,4488.5
2024-03-12 03:33:00,9.483,9.496,9.483,9.496,735.5
2024-03-12 03:34:00,9.496,9.496,9.496,9.496,0.0
2024-03-12 03:35:00,9.496,9.496,9.496,9.496,0.0
2024-03-12 03:36:00,9.496,9.496,9.496,9.496,0.0
2024-03-12 03:37:00,9.528,9.534,9.528,9.534,93.4
2024-03-12 03:38:00,9.516,9.519,9.51,9.519,392.8
2024-03-12 03:39:00,9.511,9.511,9.511,9.511,1.9
2024-03-12 03:40:00,9.524,9.524,9.516,9.516,63.7
2024-03-12 03:41:00,9.516,9.516,9.516,9.516,0.0
2024-03-12 03:42:00,9.503,9.503,9.503,9.503,101.1
2024-03-12 03:43:00,9.503,9.503,9.503,9.503,0.0
2024-03-12 03:44:00,9.489,9.489,9.489,9.489,5275.7
2024-03-12 03:45:00,9.513,9.518,9.513,9.518,305.6
2024-03-12 03:46:00,9.51,9.51,9.489,9.489,2585.2
