Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,2.622,2.622,2.622,2.622,83.64
2024-03-12 02:30:00,2.623,2.623,2.623,2.623,11.36
2024-03-12 02:31:00,2.623,2.627,2.623,2.626,885.41
2024-03-12 02:32:00,2.626,2.63,2.626,2.63,493.53
2024-03-12 02:33:00,2.628,2.628,2.627,2.627,115.47
2024-03-12 02:34:00,2.627,2.627,2.627,2.627,0.0
2024-03-12 02:35:00,2.627,2.627,2.627,2.627,4.23
2024-03-12 02:36:00,2.627,2.627,2.626,2.626,338.66
2024-03-12 02:37:00,2.627,2.627,2.625,2.625,107.23
2024-03-12 02:38:00,2.625,2.625,2.625,2.625,0.0
2024-03-12 02:39:00,2.626,2.628,2.626,2.628,372.51
2024-03-12 02:40:00,2.628,2.629,2.627,2.627,43.75
2024-03-12 02:41:00,2.628,2.628,2.628,2.628,95.12
2024-03-12 02:42:00,2.626,2.626,2.626,2.626,50.2
2024-03-12 02:43:00,2.626,2.626,2.624,2.624,65.95
2024-03-12 02:44:00,2.624,2.624,2.624,2.624,0.0
2024-03-12 02:45:00,2.624,2.624,2.623,2.623,60.89
2024-03-12 02:46:00,2.625,2.626,2.625,2.626,41.16
2024-03-12 02:47:00,2.626,2.626,2.626,2.626,0.0
2024-03-12 02:48:00,2.626,2.626,2.626,2.626,0.0
2024-03-12 02:49:00,2.626,2.626,2.623,2.626,84.73
2024-03-12 02:50:00,2.622,2.622,2.621,2.621,70.02
2024-03-12 02:51:00,2.622,2.625,2.62,2.621,1971.48
2024-03-12 02:52:00,2.621,2.621,2.621,2.621,0.0
2024-03-12 02:53:00,2.622,2.624,2.621,2.624,26.71
2024-03-12 02:54:00,2.624,2.624,2.624,2.624,0.0
2024-03-12 02:55:00,2.624,2.624,2.624,2.624,17.01
2024-03-12 02:56:00,2.624,2.625,2.624,2.625,18.44
2024-03-12 02:57:00,2.625,2.626,2.625,2.626,82.83
2024-03-12 02:58:00,2.625,2.625,2.621,2.621,59.23
2024-03-12 02:59:00,2.625,2.625,2.621,2.621,49.43
2024-03-12 03:00:00,2.625,2.626,2.625,2.626,103.39
2024-03-12 03:01:00,2.623,2.628,2.622,2.628,199.47
2024-03-12 03:02:00,2.628,2.628,2.624,2.624,19.67
2024-03-12 03:03:00,2.627,2.627,2.627,2.627,285.39
2024-03-12 03:04:00,2.624,2.624,2.617,2.623,2599.81
2024-03-12 03:05:00,2.622,2.626,2.622,2.626,298.84
2024-03-12 03:06:00,2.626,2.626,2.626,2.626,0.0
2024-03-12 03:07:00,2.626,2.626,2.626,2.626,0.0
2024-03-12 03:08:00,2.626,2.626,2.622,2.622,15.49
2024-03-12 03:09:00,2.623,2.623,2.62,2.622,916.13
2024-03-12 03:10:00,2.622,2.622,2.622,2.622,80.46
2024-03-12 03:11:00,2.623,2.623,2.623,2.623,45.88
2024-03-12 03:12:00,2.622,2.623,2.622,2.623,17.82
2024-03-12 03:13:00,2.623,2.623,2.623,2.623,206.29
2024-03-12 03:14:00,2.622,2.622,2.622,2.622,4.01
2024-03-12 03:15:00,2.622,2.623,2.621,2.621,57.57
2024-03-12 03:16:00,2.623,2.623,2.623,2.623,465.84
2024-03-12 03:17:00,2.622,2.622,2.622,2.622,14.9
2024-03-12 03:18:00,2.622,2.622,2.62,2.62,158.92
2024-03-12 03:19:00,2.621,2.623,2.62,2.623,970.79
2024-03-12 03:20:00,2.623,2.623,2.622,2.623,1521.52
2024-03-12 03:21:00,2.624,2.626,2.619,2.622,2075.71
2024-03-12 03:22:00,2.623,2.625,2.62,2.621,3911.28
2024-03-12 03:23:00,2.623,2.623,2.611,2.611,3716.08
2024-03-12 03:24:00,2.611,2.613,2.61,2.613,328.28
2024-03-12 03:25:00,2.612,2.614,2.612,2.614,83.18
2024-03-12 03:26:00,2.614,2.616,2.614,2.614,118.09
2024-03-12 03:27:00,2.614,2.614,2.614,2.614,0.0
2024-03-12 03:28:00,2.615,2.615,2.614,2.614,38.25
2024-03-12 03:29:00,2.614,2.614,2.614,2.614,0.0
2024-03-12 03:30:00,2.615,2.617,2.614,2.614,134.22
2024-03-12 03:31:00,2.614,2.615,2.614,2.615,54.09
2024-03-12 03:32:00,2.615,2.615,2.615,2.615,32.18
2024-03-12 03:33:00,2.617,2.619,2.617,2.619,872.51
2024-03-12 03:34:00,2.622,2.622,2.62,2.62,129.57
2024-03-12 03:35:00,2.623,2.624,2.622,2.624,22.82
