Time,Open,High,Low,Close,Volume
2024-03-12 02:30:00,5.961,5.961,5.959,5.959,170.28
2024-03-12 02:31:00,5.97,5.97,5.966,5.966,92.46
2024-03-12 02:32:00,5.97,5.971,5.966,5.969,72.36
2024-03-12 02:33:00,5.968,5.969,5.968,5.969,154.09
2024-03-12 02:34:00,5.969,5.969,5.969,5.969,0.0
2024-03-12 02:35:00,5.969,5.969,5.969,5.969,0.0
2024-03-12 02:36:00,5.966,5.966,5.965,5.965,87.27
2024-03-12 02:37:00,5.968,5.97,5.966,5.97,750.2
2024-03-12 02:38:00,5.965,5.966,5.965,5.965,40.4
2024-03-12 02:39:00,5.968,5.97,5.968,5.969,65.29
2024-03-12 02:40:00,5.97,5.976,5.97,5.976,1465.52
2024-03-12 02:41:00,5.978,5.978,5.972,5.977,417.16
2024-03-12 02:42:00,5.976,5.978,5.976,5.976,50.07
2024-03-12 02:43:00,5.976,5.976,5.976,5.976,3.47
2024-03-12 02:44:00,5.977,5.978,5.976,5.978,173.59
2024-03-12 02:45:00,5.978,5.978,5.972,5.973,96.19
2024-03-12 02:46:00,5.974,5.976,5.974,5.976,3.98
2024-03-12 02:47:00,5.977,5.979,5.975,5.979,138.46
2024-03-12 02:48:00,5.976,5.985,5.976,5.985,1416.15
2024-03-12 02:49:00,5.983,5.983,5.981,5.981,4095.35
2024-03-12 02:50:00,5.981,5.981,5.976,5.979,199.79
2024-03-12 02:51:00,5.98,5.981,5.98,5.98,85.53
2024-03-12 02:52:00,5.981,5.981,5.973,5.978,954.9
2024-03-12 02:53:00,5.978,5.979,5.975,5.975,102.91
2024-03-12 02:54:00,5.979,5.979,5.972,5.977,96.35
2024-03-12 02:55:00,5.977,5.977,5.973,5.973,78.66
2024-03-12 02:56:00,5.972,5.973,5.972,5.972,171.06
2024-03-12 02:57:00,5.974,5.975,5.974,5.975,40.98
2024-03-12 02:58:00,5.974,5.976,5.974,5.976,257.8
2024-03-12 02:59:00,5.977,5.979,5.975,5.975,194.31
2024-03-12 03:00:00,5.979,5.979,5.975,5.978,73.09
2024-03-12 03:01:00,5.98,5.981,5.979,5.979,49.4
2024-03-12 03:02:00,5.981,5.981,5.977,5.979,68.4
2024-03-12 03:03:00,5.979,5.981,5.979,5.981,592.23
2024-03-12 03:04:00,5.981,5.981,5.98,5.98,133.24
2024-03-12 03:05:00,5.98,5.981,5.98,5.981,411.41
2024-03-12 03:06:00,5.981,5.981,5.98,5.98,77.5
2024-03-12 03:07:00,5.98,5.981,5.98,5.98,3440.69
2024-03-12 03:08:00,5.981,5.981,5.977,5.977,804.89
2024-03-12 03:09:00,5.978,5.978,5.972,5.972,245.81
2024-03-12 03:10:00,5.974,5.975,5.969,5.969,71.63
2024-03-12 03:11:00,5.972,5.973,5.97,5.971,131.31
2024-03-12 03:12:00,5.971,5.971,5.969,5.97,37.29
2024-03-12 03:13:00,5.971,5.973,5.97,5.973,223.86
2024-03-12 03:14:00,5.973,5.975,5.973,5.975,20.92
2024-03-12 03:15:00,5.972,5.975,5.972,5.975,33.39
2024-03-12 03:16:00,5.975,5.975,5.975,5.975,0.0
2024-03-12 03:17:00,5.97,5.97,5.968,5.968,24.39
2024-03-12 03:18:00,5.966,5.966,5.965,5.965,35.73
2024-03-12 03:19:00,5.962,5.972,5.962,5.971,81.98
2024-03-12 03:20:00,5.97,5.97,5.968,5.968,38.89
2024-03-12 03:21:00,5.966,5.966,5.939,5.946,293.9
2024-03-12 03:22:00,5.94,5.94,5.924,5.924,2603.65
2024-03-12 03:23:00,5.93,5.935,5.925,5.928,2328.96
2024-03-12 03:24:00,5.928,5.962,5.926,5.96,823.56
2024-03-12 03:25:00,5.955,5.955,5.953,5.953,26.29
2024-03-12 03:26:00,5.948,5.95,5.945,5.945,53.72
2024-03-12 03:27:00,5.954,5.954,5.954,5.954,9.7
2024-03-12 03:28:00,5.954,5.954,5.954,5.954,1.12
2024-03-12 03:29:00,5.947,5.947,5.947,5.947,7.85
2024-03-12 03:30:00,5.948,5.949,5.948,5.949,7.69
2024-03-12 03:31:00,5.947,5.952,5.947,5.947,172.65
2024-03-12 03:32:00,5.946,5.946,5.934,5.942,884.87
