Time,Open,High,Low,Close,Volume
2024-03-12 02:30:00,3.292,3.292,3.289,3.291,352.94
2024-03-12 02:31:00,3.29,3.29,3.289,3.289,32.48
2024-03-12 02:32:00,3.287,3.287,3.287,3.287,304.22
2024-03-12 02:33:00,3.282,3.282,3.28,3.28,9.82
2024-03-12 02:34:00,3.28,3.28,3.267,3.27,3468.15
2024-03-12 02:35:00,3.269,3.269,3.269,3.269,5.04
2024-03-12 02:36:00,3.265,3.265,3.264,3.264,119.29
2024-03-12 02:37:00,3.269,3.269,3.266,3.266,138.28
2024-03-12 02:38:00,3.266,3.269,3.261,3.268,588.22
2024-03-12 02:39:00,3.268,3.268,3.263,3.268,440.26
2024-03-12 02:40:00,3.268,3.271,3.263,3.271,1570.31
2024-03-12 02:41:00,3.267,3.271,3.267,3.271,81.98
2024-03-12 02:42:00,3.27,3.271,3.27,3.271,388.91
2024-03-12 02:43:00,3.267,3.272,3.267,3.271,279.25
2024-03-12 02:44:00,3.274,3.285,3.274,3.285,858.19
2024-03-12 02:45:00,3.281,3.283,3.276,3.276,280.61
2024-03-12 02:46:00,3.276,3.276,3.264,3.265,431.24
2024-03-12 02:47:00,3.26,3.26,3.26,3.26,700.21
2024-03-12 02:48:00,3.26,3.268,3.26,3.268,410.27
2024-03-12 02:49:00,3.266,3.275,3.266,3.275,70.2
2024-03-12 02:50:00,3.271,3.271,3.27,3.27,281.33
2024-03-12 02:51:00,3.271,3.272,3.263,3.268,1095.09
2024-03-12 02:52:00,3.264,3.278,3.262,3.275,1614.28
2024-03-12 02:53:00,3.271,3.271,3.265,3.265,238.21
2024-03-12 02:54:00,3.265,3.265,3.254,3.263,2299.06
2024-03-12 02:55:00,3.262,3.263,3.262,3.263,606.65
2024-03-12 02:56:00,3.264,3.264,3.259,3.259,484.8
2024-03-12 02:57:00,3.259,3.259,3.259,3.259,7.38
2024-03-12 02:58:00,3.259,3.263,3.259,3.263,46.16
2024-03-12 02:59:00,3.259,3.259,3.25,3.254,1003.53
2024-03-12 03:00:00,3.25,3.258,3.25,3.258,359.04
2024-03-12 03:01:00,3.253,3.258,3.251,3.258,56.79
2024-03-12 03:02:00,3.254,3.258,3.251,3.258,9.59
2024-03-12 03:03:00,3.253,3.257,3.25,3.255,185.87
2024-03-12 03:04:00,3.258,3.261,3.253,3.261,281.36
2024-03-12 03:05:00,3.254,3.254,3.253,3.253,59.45
2024-03-12 03:06:00,3.251,3.261,3.25,3.261,558.04
2024-03-12 03:07:00,3.253,3.262,3.249,3.255,978.51
2024-03-12 03:08:00,3.258,3.258,3.258,3.258,15.34
2024-03-12 03:09:00,3.253,3.253,3.249,3.249,67.15
2024-03-12 03:10:00,3.249,3.25,3.243,3.245,2759.71
2024-03-12 03:11:00,3.245,3.245,3.245,3.245,0.0
2024-03-12 03:12:00,3.245,3.245,3.241,3.245,490.56
2024-03-12 03:13:00,3.242,3.242,3.237,3.238,1045.56
2024-03-12 03:14:00,3.237,3.238,3.237,3.238,426.07
2024-03-12 03:15:00,3.238,3.241,3.237,3.241,323.52
2024-03-12 03:16:00,3.243,3.244,3.243,3.243,106.42
2024-03-12 03:17:00,3.244,3.244,3.241,3.241,616.51
2024-03-12 03:18:00,3.238,3.238,3.237,3.237,316.83
2024-03-12 03:19:00,3.238,3.238,3.236,3.236,1563.63
2024-03-12 03:20:00,3.24,3.24,3.24,3.24,72.22
2024-03-12 03:21:00,3.237,3.237,3.225,3.225,1774.78
2024-03-12 03:22:00,3.229,3.229,3.218,3.22,1923.25
2024-03-12 03:23:00,3.216,3.219,3.216,3.219,429.51
2024-03-12 03:24:00,3.219,3.232,3.218,3.232,2359.21
2024-03-12 03:25:00,3.23,3.23,3.218,3.218,1543.9
2024-03-12 03:26:00,3.22,3.22,3.22,3.22,119.69
2024-03-12 03:27:00,3.22,3.225,3.22,3.225,406.6
2024-03-12 03:28:00,3.225,3.229,3.225,3.229,75.35
2024-03-12 03:29:00,3.226,3.226,3.225,3.225,48.35
2024-03-12 03:30:00,3.224,3.228,3.219,3.228,93.54
2024-03-12 03:31:00,3.224,3.227,3.22,3.227,532.6
2024-03-12 03:32:00,3.222,3.222,3.218,3.222,637.7
2024-03-12 03:33:00,3.217,3.217,3.199,3.21,9410.47
2024-03-12 03:34:00,3.212,3.222,3.212,3.214,1064.73
2024-03-12 03:35:00,3.216,3.229,3.216,3.22,2776.46
2024-03-12 03:36:00,3.22,3.226,3.217,3.223,1578.88
2024-03-12 03:37:00,3.222,3.222,3.222,3.222,68.37
2024-03-12 03:38:00,3.222,3.224,3.221,3.221,550.9
2024-03-12 03:39:00,3.223,3.223,3.222,3.222,166.83
2024-03-12 03:40:00,3.224,3.225,3.223,3.223,277.27
2024-03-12 03:41:00,3.224,3.227,3.224,3.226,3099.97
2024-03-12 03:42:00,3.226,3.226,3.225,3.226,799.18
2024-03-12 03:43:00,3.226,3.23,3.226,3.23,1063.62
2024-03-12 03:44:00,3.231,3.234,3.231,3.234,1150.28
2024-03-12 03:45:00,3.234,3.236,3.227,3.23,654.18
2024-03-12 03:46:00,3.231,3.234,3.224,3.224,1239.42
2024-03-12 03:47:00,3.224,3.227,3.223,3.227,675.62
2024-03-12 03:48:00,3.222,3.23,3.222,3.23,1229.27
2024-03-12 03:49:00,3.227,3.227,3.22,3.22,191.41
2024-03-12 03:50:00,3.221,3.225,3.221,3.224,671.62
2024-03-12 03:51:00,3.219,3.219,3.217,3.217,159.37
2024-03-12 03:52:00,3.22,3.223,3.21,3.21,1064.82
2024-03-12 03:53:00,3.215,3.215,3.204,3.204,1714.56
2024-03-12 03:54:00,3.208,3.208,3.202,3.202,1353.85
2024-03-12 03:55:00,3.205,3.205,3.205,3.205,16.22
2024-03-12 03:56:00,3.204,3.204,3.195,3.195,2792.25
2024-03-12 03:57:00,3.2,3.202,3.195,3.195,712.24
2024-03-12 03:58:00,3.193,3.195,3.193,3.195,324.94
2024-03-12 03:59:00,3.195,3.198,3.191,3.192,625.48
2024-03-12 04:00:00,3.191,3.203,3.191,3.203,1558.66
2024-03-12 04:01:00,3.204,3.208,3.204,3.208,1255.06
2024-03-12 04:02:00,3.208,3.211,3.202,3.206,946.5
2024-03-12 04:03:00,3.199,3.2,3.196,3.2,186.53
2024-03-12 04:04:00,3.198,3.198,3.176,3.179,5028.66
2024-03-12 04:05:00,3.178,3.188,3.171,3.177,7379.88
2024-03-12 04:06:00,3.173,3.186,3.171,3.186,4900.53
2024-03-12 04:07:00,3.185,3.185,3.185,3.185,56.83
2024-03-12 04:08:00,3.188,3.192,3.188,3.192,208.7
2024-03-12 04:09:00,3.19,3.192,3.19,3.192,45.09
2024-03-12 04:10:00,3.191,3.197,3.19,3.196,1738.07
2024-03-12 04:11:00,3.19,3.192,3.185,3.192,656.89
2024-03-12 04:12:00,3.196,3.201,3.196,3.201,1836.06
2024-03-12 04:13:00,3.201,3.201,3.201,3.201,0.0
2024-03-12 04:14:00,3.203,3.206,3.202,3.203,141.17
2024-03-12 04:15:00,3.207,3.207,3.203,3.203,215.81
2024-03-12 04:16:00,3.208,3.212,3.208,3.212,143.48
2024-03-12 04:17:00,3.215,3.218,3.208,3.218,888.59
2024-03-12 04:18:00,3.215,3.218,3.215,3.215,92.52
2024-03-12 04:19:00,3.215,3.217,3.215,3.216,295.43
2024-03-12 04:20:00,3.214,3.216,3.214,3.215,93.75
2024-03-12 04:21:00,3.213,3.213,3.202,3.212,1440.61
2024-03-12 04:22:00,3.213,3.225,3.213,3.223,2550.53
2024-03-12 04:23:00,3.221,3.221,3.221,3.221,2.34
2024-03-12 04:24:00,3.22,3.225,3.211,3.225,3286.03
2024-03-12 04:25:00,3.222,3.222,3.22,3.22,119.22
2024-03-12 04:26:00,3.215,3.215,3.215,3.215,356.96
2024-03-12 04:27:00,3.214,3.219,3.214,3.219,12.15
2024-03-12 04:28:00,3.219,3.219,3.219,3.219,0.0
2024-03-12 04:29:00,3.22,3.22,3.219,3.219,100.75
2024-03-12 04:30:00,3.216,3.219,3.216,3.219,609.25
2024-03-12 04:31:00,3.22,3.22,3.219,3.22,322.97
2024-03-12 04:32:00,3.217,3.217,3.212,3.213,179.11
2024-03-12 04:33:00,3.21,3.215,3.21,3.215,322.49
2024-03-12 04:34:00,3.211,3.215,3.211,3.215,6.03
2024-03-12 04:35:00,3.211,3.215,3.211,3.215,36.2
2024-03-12 04:36:00,3.211,3.211,3.208,3.208,347.39
2024-03-12 04:37:00,3.209,3.21,3.209,3.21,565.79
2024-03-12 04:38:00,3.21,3.21,3.21,3.21,0.0
2024-03-12 04:39:00,3.21,3.21,3.21,3.21,0.0
2024-03-12 04:40:00,3.209,3.21,3.209,3.21,279.9
2024-03-12 04:41:00,3.21,3.21,3.21,3.21,0.0
2024-03-12 04:42:00,3.21,3.21,3.21,3.21,28.96
2024-03-12 04:43:00,3.208,3.208,3.208,3.208,6.09
2024-03-12 04:44:00,3.207,3.208,3.207,3.208,155.88
2024-03-12 04:45:00,3.208,3.214,3.208,3.213,614.14
2024-03-12 04:46:00,3.213,3.213,3.213,3.213,0.0
2024-03-12 04:47:00,3.21,3.215,3.21,3.215,477.94
2024-03-12 04:48:00,3.214,3.214,3.209,3.209,176.17
2024-03-12 04:49:00,3.209,3.209,3.209,3.209,0.0
2024-03-12 04:50:00,3.209,3.209,3.209,3.209,0.0
2024-03-12 04:51:00,3.215,3.217,3.215,3.217,108.08
2024-03-12 04:52:00,3.21,3.21,3.21,3.21,1.88
2024-03-12 04:53:00,3.202,3.206,3.2,3.206,995.29
2024-03-12 04:54:00,3.206,3.206,3.206,3.206,0.0
2024-03-12 04:55:00,3.202,3.202,3.199,3.199,527.5
2024-03-12 04:56:00,3.199,3.201,3.199,3.2,1612.98
2024-03-12 04:57:00,3.199,3.199,3.196,3.197,1060.05
2024-03-12 04:58:00,3.193,3.199,3.193,3.193,26.86
2024-03-12 04:59:00,3.192,3.192,3.192,3.192,106.95
2024-03-12 05:00:00,3.197,3.214,3.197,3.206,3269.58
2024-03-12 05:01:00,3.206,3.206,3.198,3.201,609.67
2024-03-12 05:02:00,3.205,3.205,3.197,3.197,652.83
2024-03-12 05:03:00,3.202,3.202,3.202,3.202,5.9
2024-03-12 05:04:00,3.207,3.207,3.203,3.203,38.97
2024-03-12 05:05:00,3.204,3.204,3.202,3.202,1071.4
2024-03-12 05:06:00,3.193,3.193,3.193,3.193,133.28
2024-03-12 05:07:00,3.193,3.201,3.193,3.201,39.22
2024-03-12 05:08:00,3.201,3.205,3.199,3.203,170.0
2024-03-12 05:09:00,3.2,3.2,3.2,3.2,1.82
2024-03-12 05:10:00,3.201,3.205,3.2,3.205,228.61
2024-03-12 05:11:00,3.205,3.205,3.205,3.205,0.0
2024-03-12 05:12:00,3.208,3.208,3.206,3.206,27.1
2024-03-12 05:13:00,3.206,3.208,3.2,3.2,636.79
2024-03-12 05:14:00,3.202,3.212,3.201,3.21,706.82
2024-03-12 05:15:00,3.204,3.204,3.2,3.2,720.0
2024-03-12 05:16:00,3.202,3.208,3.202,3.208,94.05
2024-03-12 05:17:00,3.204,3.204,3.204,3.204,5.1
2024-03-12 05:18:00,3.202,3.203,3.2,3.203,892.09
2024-03-12 05:19:00,3.205,3.206,3.205,3.206,5.96
2024-03-12 05:20:00,3.206,3.207,3.2,3.2,909.83
2024-03-12 05:21:00,3.2,3.205,3.2,3.205,90.51
2024-03-12 05:22:00,3.205,3.214,3.205,3.209,2736.22
2024-03-12 05:23:00,3.214,3.214,3.214,3.214,255.12
2024-03-12 05:24:00,3.214,3.214,3.214,3.214,31.11
2024-03-12 05:25:00,3.214,3.215,3.209,3.212,161.62
2024-03-12 05:26:00,3.212,3.216,3.206,3.206,2076.11
2024-03-12 05:27:00,3.206,3.21,3.202,3.208,596.86
2024-03-12 05:28:00,3.21,3.21,3.207,3.207,60.83
2024-03-12 05:29:00,3.209,3.209,3.208,3.208,31.63
2024-03-12 05:30:00,3.213,3.213,3.212,3.213,268.55
2024-03-12 05:31:00,3.213,3.213,3.208,3.208,170.54
2024-03-12 05:32:00,3.212,3.212,3.207,3.212,64.37
2024-03-12 05:33:00,3.211,3.211,3.202,3.202,215.31
2024-03-12 05:34:00,3.201,3.208,3.201,3.208,252.09
2024-03-12 05:35:00,3.208,3.208,3.2,3.206,3392.36
2024-03-12 05:36:00,3.201,3.203,3.199,3.199,1539.27
2024-03-12 05:37:00,3.194,3.196,3.194,3.196,67.19
2024-03-12 05:38:00,3.2,3.203,3.198,3.202,342.02
2024-03-12 05:39:00,3.198,3.198,3.19,3.192,2209.34
2024-03-12 05:40:00,3.192,3.192,3.192,3.192,4.07
2024-03-12 05:41:00,3.192,3.192,3.192,3.192,0.0
2024-03-12 05:42:00,3.196,3.2,3.196,3.2,126.02
2024-03-12 05:43:00,3.198,3.206,3.191,3.202,3242.97
2024-03-12 05:44:00,3.202,3.202,3.202,3.202,0.0
2024-03-12 05:45:00,3.201,3.201,3.199,3.199,77.4
2024-03-12 05:46:00,3.195,3.203,3.194,3.196,1752.3
2024-03-12 05:47:00,3.194,3.2,3.194,3.2,889.5
2024-03-12 05:48:00,3.194,3.205,3.194,3.199,1871.48
2024-03-12 05:49:00,3.205,3.205,3.199,3.205,252.61
2024-03-12 05:50:00,3.2,3.205,3.198,3.205,293.94
2024-03-12 05:51:00,3.205,3.208,3.204,3.208,611.42
2024-03-12 05:52:00,3.206,3.206,3.206,3.206,31.17
2024-03-12 05:53:00,3.206,3.206,3.206,3.206,34.29
2024-03-12 05:54:00,3.206,3.206,3.206,3.206,33.6
2024-03-12 05:55:00,3.206,3.206,3.204,3.204,29.95
2024-03-12 05:56:00,3.201,3.208,3.2,3.208,1128.5
2024-03-12 05:57:00,3.208,3.221,3.208,3.214,2826.43
2024-03-12 05:58:00,3.21,3.213,3.21,3.213,20.4
2024-03-12 05:59:00,3.212,3.215,3.208,3.214,748.25
2024-03-12 06:00:00,3.215,3.215,3.207,3.215,1434.1
2024-03-12 06:01:00,3.213,3.23,3.208,3.22,4661.32
2024-03-12 06:02:00,3.221,3.23,3.208,3.208,2215.75
2024-03-12 06:03:00,3.21,3.213,3.204,3.204,490.94
2024-03-12 06:04:00,3.207,3.21,3.205,3.205,250.33
2024-03-12 06:05:00,3.205,3.205,3.195,3.196,1750.41
2024-03-12 06:06:00,3.197,3.197,3.197,3.197,17.44
2024-03-12 06:07:00,3.197,3.204,3.196,3.197,480.13
2024-03-12 06:08:00,3.197,3.206,3.195,3.197,5445.87
2024-03-12 06:09:00,3.196,3.199,3.19,3.19,2649.52
2024-03-12 06:10:00,3.192,3.192,3.184,3.185,156.4
2024-03-12 06:11:00,3.185,3.186,3.18,3.181,1979.98
2024-03-12 06:12:00,3.179,3.181,3.173,3.175,842.46
2024-03-12 06:13:00,3.177,3.181,3.177,3.181,219.5
2024-03-12 06:14:00,3.183,3.183,3.175,3.175,248.3
2024-03-12 06:15:00,3.175,3.175,3.164,3.175,4159.83
2024-03-12 06:16:00,3.173,3.179,3.173,3.179,73.93
2024-03-12 06:17:00,3.181,3.181,3.181,3.181,294.8
2024-03-12 06:18:00,3.181,3.184,3.181,3.183,327.22
2024-03-12 06:19:00,3.182,3.184,3.178,3.184,169.34
2024-03-12 06:20:00,3.182,3.184,3.182,3.184,18.27
2024-03-12 06:21:00,3.182,3.182,3.168,3.171,2087.6
2024-03-12 06:22:00,3.17,3.17,3.17,3.17,9.92
2024-03-12 06:23:00,3.176,3.177,3.171,3.171,15.82
2024-03-12 06:24:00,3.17,3.17,3.161,3.161,1391.96
2024-03-12 06:25:00,3.16,3.163,3.16,3.163,176.72
2024-03-12 06:26:00,3.163,3.163,3.155,3.155,535.77
2024-03-12 06:27:00,3.158,3.158,3.153,3.154,837.64
2024-03-12 06:28:00,3.153,3.154,3.142,3.142,2796.18
2024-03-12 06:29:00,3.143,3.147,3.139,3.144,1930.31
2024-03-12 06:30:00,3.14,3.144,3.127,3.131,2912.87
2024-03-12 06:31:00,3.14,3.158,3.136,3.158,5907.95
2024-03-12 06:32:00,3.158,3.161,3.154,3.161,691.5
2024-03-12 06:33:00,3.157,3.177,3.153,3.177,3833.11
2024-03-12 06:34:00,3.176,3.178,3.175,3.178,5475.48
2024-03-12 06:35:00,3.178,3.178,3.158,3.167,2107.35
2024-03-12 06:36:00,3.167,3.167,3.164,3.166,511.44
2024-03-12 06:37:00,3.16,3.165,3.16,3.165,142.54
2024-03-12 06:38:00,3.166,3.168,3.165,3.168,599.09
2024-03-12 06:39:00,3.17,3.179,3.166,3.179,2692.58
2024-03-12 06:40:00,3.179,3.199,3.177,3.199,12598.35
2024-03-12 06:41:00,3.193,3.21,3.19,3.195,5776.74
2024-03-12 06:42:00,3.195,3.205,3.19,3.205,453.09
2024-03-12 06:43:00,3.208,3.23,3.206,3.227,4769.29
2024-03-12 06:44:00,3.227,3.241,3.227,3.241,4171.11
2024-03-12 06:45:00,3.241,3.321,3.241,3.318,37637.31
2024-03-12 06:46:00,3.32,3.425,3.32,3.416,43156.1
2024-03-12 06:47:00,3.416,3.421,3.344,3.352,24890.64
2024-03-12 06:48:00,3.352,3.448,3.352,3.44,31510.79
2024-03-12 06:49:00,3.44,3.449,3.393,3.398,17207.87
2024-03-12 06:50:00,3.395,3.45,3.391,3.45,31063.86
2024-03-12 06:51:00,3.448,3.54,3.447,3.53,82768.31
