Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,4.076,4.083,4.076,4.081,8375.12
2024-03-12 02:30:00,4.08,4.088,4.078,4.088,18686.75
2024-03-12 02:31:00,4.089,4.092,4.087,4.087,13403.0
2024-03-12 02:32:00,4.086,4.088,4.084,4.084,6387.67
2024-03-12 02:33:00,4.083,4.087,4.083,4.085,11774.5
2024-03-12 02:34:00,4.087,4.088,4.086,4.087,5342.84
2024-03-12 02:35:00,4.087,4.088,4.082,4.085,7202.62
2024-03-12 02:36:00,4.085,4.085,4.078,4.078,3932.47
2024-03-12 02:37:00,4.079,4.085,4.079,4.084,6312.23
2024-03-12 02:38:00,4.084,4.088,4.082,4.087,9915.3
2024-03-12 02:39:00,4.087,4.087,4.084,4.087,4662.3
2024-03-12 02:40:00,4.088,4.093,4.088,4.091,11716.46
2024-03-12 02:41:00,4.09,4.091,4.084,4.084,28302.03
2024-03-12 02:42:00,4.086,4.086,4.083,4.084,2475.99
2024-03-12 02:43:00,4.084,4.084,4.08,4.081,8183.16
2024-03-12 02:44:00,4.083,4.083,4.079,4.079,7065.45
2024-03-12 02:45:00,4.079,4.081,4.078,4.078,7020.25
2024-03-12 02:46:00,4.077,4.077,4.072,4.075,15876.36
2024-03-12 02:47:00,4.076,4.079,4.076,4.078,7441.78
2024-03-12 02:48:00,4.076,4.078,4.075,4.077,6103.09
2024-03-12 02:49:00,4.078,4.08,4.077,4.078,7648.03
2024-03-12 02:50:00,4.078,4.083,4.078,4.082,9300.11
2024-03-12 02:51:00,4.082,4.087,4.081,4.087,8688.43
2024-03-12 02:52:00,4.087,4.087,4.079,4.081,6442.04
2024-03-12 02:53:00,4.082,4.083,4.077,4.083,15460.02
2024-03-12 02:54:00,4.084,4.088,4.083,4.087,5396.96
2024-03-12 02:55:00,4.085,4.087,4.085,4.085,3295.2
2024-03-12 02:56:00,4.084,4.089,4.081,4.086,8773.05
2024-03-12 02:57:00,4.086,4.087,4.084,4.087,4030.21
2024-03-12 02:58:00,4.087,4.089,4.087,4.089,1322.02
2024-03-12 02:59:00,4.088,4.089,4.088,4.088,1493.3
2024-03-12 03:00:00,4.088,4.088,4.083,4.085,7837.02
2024-03-12 03:01:00,4.086,4.087,4.084,4.084,1501.08
2024-03-12 03:02:00,4.087,4.087,4.086,4.087,492.53
2024-03-12 03:03:00,4.086,4.087,4.083,4.087,5262.06
2024-03-12 03:04:00,4.087,4.089,4.086,4.088,7690.55
2024-03-12 03:05:00,4.088,4.088,4.083,4.083,4399.57
2024-03-12 03:06:00,4.083,4.086,4.081,4.085,8558.36
2024-03-12 03:07:00,4.085,4.088,4.085,4.088,2959.43
2024-03-12 03:08:00,4.087,4.092,4.087,4.09,28385.8
2024-03-12 03:09:00,4.09,4.09,4.081,4.082,5891.11
2024-03-12 03:10:00,4.085,4.086,4.078,4.078,5185.55
2024-03-12 03:11:00,4.078,4.078,4.072,4.075,33352.19
2024-03-12 03:12:00,4.074,4.075,4.069,4.07,3413.42
2024-03-12 03:13:00,4.071,4.075,4.069,4.074,4979.62
2024-03-12 03:14:00,4.075,4.075,4.074,4.075,358.25
2024-03-12 03:15:00,4.074,4.074,4.071,4.071,4833.25
2024-03-12 03:16:00,4.071,4.072,4.066,4.067,5703.16
2024-03-12 03:17:00,4.067,4.071,4.066,4.066,5056.55
2024-03-12 03:18:00,4.065,4.067,4.062,4.062,19740.97
2024-03-12 03:19:00,4.062,4.075,4.059,4.075,12919.79
2024-03-12 03:20:00,4.074,4.075,4.065,4.065,3004.64
2024-03-12 03:21:00,4.063,4.063,4.05,4.051,9708.67
2024-03-12 03:22:00,4.05,4.05,4.029,4.029,42298.32
