Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,363.28,363.41,363.28,363.41,131.728
2024-03-12 02:30:00,364.64,364.66,364.64,364.66,14.561
2024-03-12 02:31:00,364.4,364.4,364.4,364.4,9.001
2024-03-12 02:32:00,364.4,364.4,364.4,364.4,0.0
2024-03-12 02:33:00,363.76,363.76,363.76,363.76,251.773
2024-03-12 02:34:00,363.57,363.57,363.2,363.2,2.544
2024-03-12 02:35:00,363.2,363.59,363.2,363.59,144.855
2024-03-12 02:36:00,363.44,363.59,363.44,363.59,60.009
2024-03-12 02:37:00,363.08,363.51,363.08,363.51,14.745
2024-03-12 02:38:00,362.69,363.36,362.68,363.36,154.595
2024-03-12 02:39:00,363.01,363.36,363.01,363.36,181.343
2024-03-12 02:40:00,363.36,363.36,363.36,363.36,0.0
2024-03-12 02:41:00,363.36,363.36,363.36,363.36,0.0
2024-03-12 02:42:00,363.36,363.36,363.36,363.36,0.0
2024-03-12 02:43:00,364.36,364.57,364.36,364.57,46.109
2024-03-12 02:44:00,363.87,363.87,363.04,363.06,407.851
2024-03-12 02:45:00,363.12,363.14,363.12,363.14,8.255
2024-03-12 02:46:00,362.73,362.73,362.73,362.73,3.215
2024-03-12 02:47:00,362.73,362.73,362.73,362.73,0.0
2024-03-12 02:48:00,362.73,362.73,362.73,362.73,0.0
2024-03-12 02:49:00,363.11,363.11,362.88,362.88,27.861
2024-03-12 02:50:00,362.47,362.75,362.47,362.75,89.428
2024-03-12 02:51:00,362.75,362.75,362.75,362.75,0.0
2024-03-12 02:52:00,362.75,362.75,362.75,362.75,0.0
2024-03-12 02:53:00,362.75,362.75,362.75,362.75,0.0
2024-03-12 02:54:00,362.75,362.75,362.75,362.75,0.0
2024-03-12 02:55:00,362.72,362.92,362.57,362.57,117.717
2024-03-12 02:56:00,362.57,362.57,362.57,362.57,0.0
2024-03-12 02:57:00,362.02,362.02,361.95,361.96,100.276
2024-03-12 02:58:00,361.96,361.96,361.96,361.96,0.0
2024-03-12 02:59:00,361.89,362.01,361.89,362.01,2.323
2024-03-12 03:00:00,361.59,361.6,361.26,361.26,91.82
2024-03-12 03:01:00,361.26,361.26,361.26,361.26,0.0
2024-03-12 03:02:00,361.61,361.74,361.47,361.47,138.222
2024-03-12 03:03:00,361.73,361.73,361.73,361.73,0.082
2024-03-12 03:04:00,361.29,361.29,361.29,361.29,27.829
2024-03-12 03:05:00,361.84,361.84,361.84,361.84,13.729
2024-03-12 03:06:00,362.09,362.09,362.08,362.08,7.124
2024-03-12 03:07:00,362.07,362.07,361.41,361.41,570.749
2024-03-12 03:08:00,361.48,361.48,361.48,361.48,99.859
2024-03-12 03:09:00,361.0,361.45,361.0,361.43,343.436
2024-03-12 03:10:00,361.57,361.83,360.82,360.82,372.792
2024-03-12 03:11:00,360.82,360.82,360.82,360.82,0.0
2024-03-12 03:12:00,361.34,361.34,360.73,360.75,162.546
2024-03-12 03:13:00,360.75,360.75,360.75,360.75,0.0
2024-03-12 03:14:00,360.75,360.75,360.75,360.75,0.0
2024-03-12 03:15:00,360.75,360.75,360.75,360.75,0.0
2024-03-12 03:16:00,360.75,360.75,360.75,360.75,0.0
2024-03-12 03:17:00,360.47,360.47,360.47,360.47,4.582
2024-03-12 03:18:00,360.17,360.17,360.17,360.17,14.08
2024-03-12 03:19:00,360.14,360.14,360.14,360.14,0.166
2024-03-12 03:20:00,360.3,360.3,360.29,360.3,39.387
2024-03-12 03:21:00,360.04,360.12,359.42,359.42,100.314
2024-03-12 03:22:00,359.61,359.62,357.88,357.88,210.511
2024-03-12 03:23:00,357.63,358.18,356.86,357.18,665.291
2024-03-12 03:24:00,357.32,359.38,356.93,359.38,474.932
2024-03-12 03:25:00,358.84,358.99,357.91,358.18,355.251
2024-03-12 03:26:00,357.74,357.74,357.74,357.74,13.858
2024-03-12 03:27:00,357.79,358.34,357.56,358.34,187.246
2024-03-12 03:28:00,358.67,358.71,358.48,358.48,52.057
2024-03-12 03:29:00,358.61,358.61,356.95,356.95,97.447
2024-03-12 03:30:00,357.01,357.22,356.55,357.22,155.952
2024-03-12 03:31:00,356.97,357.39,356.95,356.95,148.233
2024-03-12 03:32:00,357.22,357.28,357.0,357.0,122.963
2024-03-12 03:33:00,357.59,358.26,357.59,358.26,88.578
2024-03-12 03:34:00,358.28,358.28,358.28,358.28,13.896
2024-03-12 03:35:00,358.28,358.28,358.28,358.28,0.0
2024-03-12 03:36:00,359.21,359.21,358.99,359.07,120.385
2024-03-12 03:37:00,359.07,359.07,359.07,359.07,0.0
2024-03-12 03:38:00,358.62,358.62,358.15,358.15,141.504
2024-03-12 03:39:00,357.52,357.52,357.52,357.52,13.845
2024-03-12 03:40:00,357.52,357.52,357.52,357.52,0.0
2024-03-12 03:41:00,357.52,357.52,357.52,357.52,0.0
2024-03-12 03:42:00,357.6,357.75,357.6,357.75,267.283
2024-03-12 03:43:00,357.77,357.77,357.67,357.67,41.284
2024-03-12 03:44:00,357.87,357.92,357.87,357.92,17.118
2024-03-12 03:45:00,357.92,357.92,357.92,357.92,0.0
2024-03-12 03:46:00,357.92,357.92,357.92,357.92,0.0
2024-03-12 03:47:00,358.97,358.97,358.39,358.39,48.678
2024-03-12 03:48:00,358.39,358.39,358.39,358.39,26.121
2024-03-12 03:49:00,357.93,357.93,357.92,357.92,16.374
2024-03-12 03:50:00,357.92,357.92,357.92,357.92,0.0
2024-03-12 03:51:00,357.57,358.11,357.57,358.11,14.662
2024-03-12 03:52:00,358.11,358.11,358.11,358.11,0.0
2024-03-12 03:53:00,358.11,358.11,358.11,358.11,0.0
2024-03-12 03:54:00,356.49,356.49,355.53,355.53,107.254
2024-03-12 03:55:00,356.51,356.51,355.0,355.6,169.055
2024-03-12 03:56:00,354.54,354.67,353.72,354.67,179.615
2024-03-12 03:57:00,354.67,354.67,354.67,354.67,0.0
2024-03-12 03:58:00,355.29,355.29,354.79,354.79,153.633
2024-03-12 03:59:00,355.19,355.19,355.19,355.19,14.001
2024-03-12 04:00:00,355.6,356.58,355.6,356.58,61.745
2024-03-12 04:01:00,356.77,356.77,356.77,356.77,53.943
2024-03-12 04:02:00,355.86,355.86,355.86,355.86,13.987
2024-03-12 04:03:00,355.18,355.18,354.92,354.92,5.261
2024-03-12 04:04:00,354.48,354.48,353.77,353.77,72.834
2024-03-12 04:05:00,354.04,354.29,352.29,352.55,364.991
2024-03-12 04:06:00,352.68,352.81,352.67,352.67,59.687
2024-03-12 04:07:00,353.33,353.45,353.33,353.45,28.178
2024-03-12 04:08:00,353.67,353.67,353.67,353.67,14.095
2024-03-12 04:09:00,354.53,354.78,354.16,354.16,49.847
2024-03-12 04:10:00,354.16,354.16,354.16,354.16,0.0
