Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,1.6293,1.6294,1.6279,1.6279,1775.7
2024-03-12 02:30:00,1.6279,1.6328,1.6276,1.6328,8089.1
2024-03-12 02:31:00,1.6325,1.6352,1.6325,1.6352,10908.6
2024-03-12 02:32:00,1.6348,1.6364,1.6348,1.6354,4868.7
2024-03-12 02:33:00,1.6363,1.6372,1.6359,1.6367,5379.0
2024-03-12 02:34:00,1.6356,1.6356,1.633,1.6343,1571.3
2024-03-12 02:35:00,1.6345,1.6352,1.6344,1.6352,652.0
2024-03-12 02:36:00,1.6353,1.6355,1.6346,1.6348,1707.6
2024-03-12 02:37:00,1.6347,1.6377,1.6346,1.6377,990.7
2024-03-12 02:38:00,1.6377,1.6378,1.6351,1.6351,2655.3
2024-03-12 02:39:00,1.6355,1.6378,1.6352,1.6367,1932.7
2024-03-12 02:40:00,1.6357,1.6357,1.6321,1.6352,5280.7
2024-03-12 02:41:00,1.6351,1.6378,1.635,1.6378,1934.2
2024-03-12 02:42:00,1.6368,1.6443,1.6366,1.6429,40600.8
2024-03-12 02:43:00,1.6436,1.644,1.6424,1.6435,6829.6
2024-03-12 02:44:00,1.6433,1.6443,1.6428,1.6443,2910.4
2024-03-12 02:45:00,1.6435,1.6443,1.6434,1.6438,1592.8
2024-03-12 02:46:00,1.6438,1.6443,1.6431,1.6442,3942.6
2024-03-12 02:47:00,1.6442,1.645,1.6434,1.6446,8568.4
2024-03-12 02:48:00,1.6444,1.6447,1.6439,1.6441,5948.9
2024-03-12 02:49:00,1.644,1.644,1.6423,1.6429,9603.0
2024-03-12 02:50:00,1.6436,1.6436,1.6418,1.6418,4659.8
2024-03-12 02:51:00,1.642,1.6451,1.6418,1.6437,3628.9
2024-03-12 02:52:00,1.6434,1.6434,1.6397,1.64,4892.6
2024-03-12 02:53:00,1.6404,1.6436,1.6398,1.6425,12462.3
2024-03-12 02:54:00,1.6426,1.6438,1.6421,1.6437,4137.9
2024-03-12 02:55:00,1.6438,1.6442,1.6415,1.6418,5549.7
2024-03-12 02:56:00,1.6417,1.642,1.6417,1.642,1859.8
2024-03-12 02:57:00,1.6426,1.6445,1.6426,1.644,5179.5
2024-03-12 02:58:00,1.6441,1.645,1.6439,1.6444,4442.0
2024-03-12 02:59:00,1.645,1.6463,1.6439,1.6452,3914.0
2024-03-12 03:00:00,1.6452,1.6452,1.6427,1.643,2836.4
2024-03-12 03:01:00,1.6432,1.6461,1.6432,1.646,899.0
2024-03-12 03:02:00,1.6459,1.648,1.6459,1.6469,7120.1
