Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,0.876,0.876,0.876,0.876,154.6
2024-03-12 02:30:00,0.8782,0.8793,0.8782,0.8793,900.5
2024-03-12 02:31:00,0.8755,0.8786,0.873,0.8786,2201.1
2024-03-12 02:32:00,0.8735,0.8769,0.8732,0.8769,2171.8
2024-03-12 02:33:00,0.8747,0.8747,0.8725,0.8725,1893.8
2024-03-12 02:34:00,0.8725,0.8725,0.8725,0.8725,0.0
2024-03-12 02:35:00,0.8701,0.8703,0.8699,0.8699,2790.4
2024-03-12 02:36:00,0.87,0.87,0.8693,0.8693,1143.7
2024-03-12 02:37:00,0.8685,0.8685,0.8685,0.8685,505.0
2024-03-12 02:38:00,0.8683,0.8697,0.8683,0.8697,959.7
2024-03-12 02:39:00,0.8697,0.8697,0.8697,0.8697,0.0
2024-03-12 02:40:00,0.8697,0.8697,0.8697,0.8697,0.0
2024-03-12 02:41:00,0.8617,0.8691,0.8617,0.8691,224.8
2024-03-12 02:42:00,0.8693,0.87,0.8693,0.87,902.1
2024-03-12 02:43:00,0.87,0.87,0.87,0.87,0.0
2024-03-12 02:44:00,0.8733,0.8733,0.8724,0.8724,997.9
2024-03-12 02:45:00,0.8718,0.8718,0.8698,0.8698,1918.3
2024-03-12 02:46:00,0.8684,0.8684,0.8684,0.8684,947.3
2024-03-12 02:47:00,0.8652,0.8652,0.8592,0.8592,225.9
2024-03-12 02:48:00,0.8592,0.8592,0.8592,0.8592,0.0
2024-03-12 02:49:00,0.8592,0.8592,0.8592,0.8592,0.0
2024-03-12 02:50:00,0.8592,0.8592,0.8592,0.8592,0.0
2024-03-12 02:51:00,0.8592,0.8592,0.8592,0.8592,0.0
2024-03-12 02:52:00,0.8725,0.8725,0.8725,0.8725,216.7
2024-03-12 02:53:00,0.8727,0.8736,0.8727,0.8736,929.9
2024-03-12 02:54:00,0.8736,0.8736,0.8736,0.8736,0.0
2024-03-12 02:55:00,0.875,0.875,0.875,0.875,959.4
2024-03-12 02:56:00,0.8785,0.8785,0.8785,0.8785,9.3
2024-03-12 02:57:00,0.8729,0.8729,0.8723,0.8723,219.9
2024-03-12 02:58:00,0.8687,0.869,0.8687,0.869,478.5
2024-03-12 02:59:00,0.869,0.869,0.869,0.869,0.0
2024-03-12 03:00:00,0.869,0.869,0.869,0.869,0.0
2024-03-12 03:01:00,0.869,0.869,0.869,0.869,0.0
2024-03-12 03:02:00,0.8651,0.8651,0.8651,0.8651,1046.1
2024-03-12 03:03:00,0.8651,0.8651,0.8651,0.8651,0.0
2024-03-12 03:04:00,0.8651,0.8651,0.8651,0.8651,0.0
2024-03-12 03:05:00,0.8656,0.8656,0.8576,0.8576,227.6
2024-03-12 03:06:00,0.8576,0.8576,0.8576,0.8576,0.0
2024-03-12 03:07:00,0.8576,0.8576,0.8576,0.8576,0.0
2024-03-12 03:08:00,0.8576,0.8576,0.8576,0.8576,0.0
2024-03-12 03:09:00,0.8576,0.8576,0.8576,0.8576,0.0
2024-03-12 03:10:00,0.8665,0.8665,0.8665,0.8665,85.7
2024-03-12 03:11:00,0.8665,0.8665,0.8665,0.8665,0.0
2024-03-12 03:12:00,0.8665,0.8665,0.8665,0.8665,0.0
