Time,Open,High,Low,Close,Volume
2024-03-12 02:30:00,0.7101,0.7106,0.7101,0.7106,2761.9
2024-03-12 02:31:00,0.7106,0.7106,0.7106,0.7106,0.0
2024-03-12 02:32:00,0.7106,0.7106,0.7106,0.7106,0.0
2024-03-12 02:33:00,0.7106,0.7106,0.7106,0.7106,0.0
2024-03-12 02:34:00,0.7104,0.7104,0.7092,0.7092,2141.6
2024-03-12 02:35:00,0.7098,0.7105,0.709,0.709,3597.0
2024-03-12 02:36:00,0.709,0.709,0.709,0.709,0.0
2024-03-12 02:37:00,0.709,0.709,0.709,0.709,0.0
2024-03-12 02:38:00,0.709,0.709,0.7069,0.7074,14556.5
2024-03-12 02:39:00,0.7068,0.7074,0.7066,0.7068,6601.4
2024-03-12 02:40:00,0.7069,0.7069,0.7069,0.7069,1448.5
2024-03-12 02:41:00,0.7062,0.7062,0.7062,0.7062,349.7
2024-03-12 02:42:00,0.7064,0.7064,0.7053,0.7063,5765.1
2024-03-12 02:43:00,0.7063,0.708,0.7059,0.708,5169.2
2024-03-12 02:44:00,0.7077,0.7079,0.7077,0.7079,320.4
2024-03-12 02:45:00,0.7079,0.7079,0.7079,0.7079,0.0
2024-03-12 02:46:00,0.7067,0.7067,0.7065,0.7065,62.4
2024-03-12 02:47:00,0.7062,0.7065,0.7059,0.7065,933.0
2024-03-12 02:48:00,0.7059,0.706,0.7056,0.7056,2752.7
2024-03-12 02:49:00,0.7056,0.7056,0.7056,0.7056,424.1
2024-03-12 02:50:00,0.7054,0.7068,0.7054,0.706,1177.0
2024-03-12 02:51:00,0.7062,0.7071,0.7062,0.7071,1272.3
2024-03-12 02:52:00,0.7066,0.7066,0.7058,0.706,1391.1
2024-03-12 02:53:00,0.706,0.7065,0.706,0.7065,10207.7
2024-03-12 02:54:00,0.7071,0.7073,0.7068,0.7068,1780.9
2024-03-12 02:55:00,0.707,0.708,0.7059,0.7059,6117.2
2024-03-12 02:56:00,0.7068,0.7071,0.7058,0.7058,1060.4
2024-03-12 02:57:00,0.7058,0.7071,0.7058,0.7071,2222.7
2024-03-12 02:58:00,0.7071,0.7071,0.7071,0.7071,0.0
2024-03-12 02:59:00,0.7073,0.7073,0.7068,0.7068,199.0
2024-03-12 03:00:00,0.7072,0.7076,0.7072,0.7075,1096.7
2024-03-12 03:01:00,0.7064,0.7079,0.7064,0.7079,998.8
2024-03-12 03:02:00,0.708,0.708,0.7071,0.7071,217.1
2024-03-12 03:03:00,0.7072,0.7072,0.7072,0.7072,293.6
2024-03-12 03:04:00,0.708,0.708,0.708,0.708,118.4
2024-03-12 03:05:00,0.7074,0.7088,0.7063,0.7088,8726.4
2024-03-12 03:06:00,0.7088,0.7088,0.7088,0.7088,0.0
2024-03-12 03:07:00,0.7073,0.7082,0.7073,0.7082,30.7
2024-03-12 03:08:00,0.7072,0.7072,0.7062,0.7062,1362.2
2024-03-12 03:09:00,0.707,0.707,0.7059,0.7059,318.3
2024-03-12 03:10:00,0.7054,0.7064,0.7052,0.7056,71.2
2024-03-12 03:11:00,0.7047,0.705,0.704,0.7043,4236.4
2024-03-12 03:12:00,0.7047,0.7047,0.7047,0.7047,424.1
2024-03-12 03:13:00,0.7047,0.7047,0.7047,0.7047,0.0
2024-03-12 03:14:00,0.705,0.705,0.7042,0.7042,1245.5
2024-03-12 03:15:00,0.7039,0.7044,0.7038,0.7044,9316.2
2024-03-12 03:16:00,0.7047,0.7047,0.7047,0.7047,424.1
2024-03-12 03:17:00,0.7038,0.7038,0.7036,0.7036,8605.3
2024-03-12 03:18:00,0.7039,0.7039,0.7033,0.7033,7688.5
2024-03-12 03:19:00,0.7035,0.7046,0.7035,0.7046,2510.0
2024-03-12 03:20:00,0.7031,0.7044,0.7031,0.7044,329.0
2024-03-12 03:21:00,0.7038,0.7041,0.7032,0.7041,10678.7
2024-03-12 03:22:00,0.7039,0.7039,0.6998,0.6999,96705.7
2024-03-12 03:23:00,0.6999,0.7002,0.697,0.697,46850.7
2024-03-12 03:24:00,0.6972,0.7017,0.6972,0.7009,18070.4
2024-03-12 03:25:00,0.7012,0.7013,0.6996,0.7003,4281.1
2024-03-12 03:26:00,0.6997,0.6997,0.698,0.6989,9172.6
2024-03-12 03:27:00,0.6985,0.699,0.6985,0.699,1026.1
2024-03-12 03:28:00,0.699,0.6991,0.699,0.6991,2652.4
2024-03-12 03:29:00,0.6994,0.6998,0.6985,0.6985,1694.1
2024-03-12 03:30:00,0.6981,0.6981,0.6946,0.696,32073.1
2024-03-12 03:31:00,0.696,0.6963,0.6955,0.6955,3837.7
2024-03-12 03:32:00,0.6957,0.696,0.6942,0.696,11496.0
2024-03-12 03:33:00,0.6951,0.696,0.6941,0.696,3399.9
2024-03-12 03:34:00,0.6959,0.6977,0.6959,0.6967,1934.5
2024-03-12 03:35:00,0.6965,0.6968,0.6965,0.6967,850.0
2024-03-12 03:36:00,0.6975,0.6975,0.6975,0.6975,424.1
2024-03-12 03:37:00,0.697,0.697,0.6968,0.6968,2769.8
2024-03-12 03:38:00,0.6966,0.697,0.695,0.695,8977.6
2024-03-12 03:39:00,0.6959,0.6966,0.695,0.695,22406.9
2024-03-12 03:40:00,0.695,0.695,0.6949,0.6949,11127.5
2024-03-12 03:41:00,0.6947,0.6947,0.6937,0.6937,25123.4
2024-03-12 03:42:00,0.6936,0.6936,0.6936,0.6936,8.6
2024-03-12 03:43:00,0.6939,0.6948,0.6936,0.6937,7955.8
2024-03-12 03:44:00,0.6937,0.6937,0.6937,0.6937,6700.3
2024-03-12 03:45:00,0.694,0.694,0.694,0.694,2499.5
2024-03-12 03:46:00,0.694,0.6947,0.694,0.6947,340.1
2024-03-12 03:47:00,0.694,0.6942,0.694,0.6942,3377.6
2024-03-12 03:48:00,0.6942,0.6942,0.6942,0.6942,0.0
2024-03-12 03:49:00,0.6946,0.6952,0.6944,0.6944,1653.6
2024-03-12 03:50:00,0.6939,0.6939,0.6933,0.6939,2413.6
2024-03-12 03:51:00,0.6932,0.6933,0.6931,0.6933,439.7
2024-03-12 03:52:00,0.6933,0.6933,0.6933,0.6933,31.1
2024-03-12 03:53:00,0.6931,0.6931,0.6931,0.6931,14.1
2024-03-12 03:54:00,0.693,0.693,0.6911,0.6911,18624.3
2024-03-12 03:55:00,0.6909,0.6912,0.6903,0.6906,2869.6
2024-03-12 03:56:00,0.6911,0.6911,0.69,0.6903,13878.7
2024-03-12 03:57:00,0.6902,0.6907,0.6902,0.6907,3704.7
2024-03-12 03:58:00,0.69,0.6935,0.6882,0.6907,46442.1
2024-03-12 03:59:00,0.69,0.69,0.6882,0.6891,6297.8
2024-03-12 04:00:00,0.6885,0.6936,0.6882,0.6935,16552.6
2024-03-12 04:01:00,0.693,0.693,0.6903,0.6904,9784.9
2024-03-12 04:02:00,0.6904,0.6924,0.6904,0.6906,10271.5
2024-03-12 04:03:00,0.6904,0.6904,0.6888,0.6897,5378.9
2024-03-12 04:04:00,0.6896,0.6942,0.6896,0.6924,44577.4
2024-03-12 04:05:00,0.6918,0.6926,0.6879,0.6879,17735.2
2024-03-12 04:06:00,0.6879,0.6896,0.6874,0.6887,4073.8
2024-03-12 04:07:00,0.6879,0.6888,0.6879,0.6888,955.8
