Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,37.51,37.53,37.49,37.53,40.21
2024-03-12 02:30:00,37.49,37.55,37.48,37.55,41.82
2024-03-12 02:31:00,37.55,37.58,37.55,37.57,34.97
2024-03-12 02:32:00,37.57,37.59,37.57,37.59,53.03
2024-03-12 02:33:00,37.59,37.63,37.59,37.63,76.94
2024-03-12 02:34:00,37.65,37.65,37.65,37.65,3.15
2024-03-12 02:35:00,37.65,37.65,37.61,37.61,4.99
2024-03-12 02:36:00,37.6,37.64,37.6,37.63,1.55
2024-03-12 02:37:00,37.63,37.63,37.63,37.63,4.66
2024-03-12 02:38:00,37.62,37.62,37.62,37.62,2.22
2024-03-12 02:39:00,37.62,37.7,37.62,37.69,170.79
2024-03-12 02:40:00,37.7,37.7,37.66,37.66,27.86
2024-03-12 02:41:00,37.64,37.74,37.64,37.74,71.41
2024-03-12 02:42:00,37.73,37.75,37.65,37.69,59.87
2024-03-12 02:43:00,37.65,37.65,37.45,37.47,176.26
2024-03-12 02:44:00,37.52,37.53,37.52,37.53,4.23
2024-03-12 02:45:00,37.55,37.55,37.54,37.55,8.48
2024-03-12 02:46:00,37.54,37.57,37.53,37.57,10.76
2024-03-12 02:47:00,37.52,37.52,37.52,37.52,0.57
2024-03-12 02:48:00,37.52,37.56,37.52,37.52,1.27
2024-03-12 02:49:00,37.52,37.58,37.52,37.58,31.53
2024-03-12 02:50:00,37.58,37.61,37.54,37.54,45.57
2024-03-12 02:51:00,37.54,37.64,37.54,37.6,26.58
2024-03-12 02:52:00,37.64,37.65,37.6,37.6,6.06
2024-03-12 02:53:00,37.6,37.6,37.6,37.6,0.0
2024-03-12 02:54:00,37.61,37.61,37.59,37.59,3.2
2024-03-12 02:55:00,37.6,37.6,37.6,37.6,0.74
2024-03-12 02:56:00,37.63,37.64,37.6,37.63,5.29
2024-03-12 02:57:00,37.64,37.67,37.61,37.61,6.26
2024-03-12 02:58:00,37.68,37.69,37.47,37.58,93.17
2024-03-12 02:59:00,37.58,37.61,37.54,37.61,22.49
2024-03-12 03:00:00,37.61,37.62,37.53,37.58,39.08
2024-03-12 03:01:00,37.62,37.64,37.57,37.6,28.81
2024-03-12 03:02:00,37.64,37.65,37.6,37.65,27.75
2024-03-12 03:03:00,37.65,37.69,37.6,37.68,48.44
2024-03-12 03:04:00,37.65,37.68,37.65,37.68,0.63
2024-03-12 03:05:00,37.64,37.69,37.64,37.64,7.31
2024-03-12 03:06:00,37.69,37.69,37.63,37.63,6.13
2024-03-12 03:07:00,37.63,37.63,37.6,37.6,16.94
2024-03-12 03:08:00,37.6,37.61,37.6,37.61,8.78
2024-03-12 03:09:00,37.61,37.61,37.61,37.61,0.0
2024-03-12 03:10:00,37.61,37.61,37.61,37.61,0.0
2024-03-12 03:11:00,37.59,37.61,37.59,37.61,7.49
2024-03-12 03:12:00,37.62,37.62,37.62,37.62,0.97
2024-03-12 03:13:00,37.62,37.62,37.62,37.62,0.0
2024-03-12 03:14:00,37.62,37.62,37.62,37.62,0.0
2024-03-12 03:15:00,37.58,37.64,37.54,37.54,30.04
2024-03-12 03:16:00,37.55,37.55,37.53,37.53,3.38
2024-03-12 03:17:00,37.5,37.5,37.5,37.5,2.0
2024-03-12 03:18:00,37.49,37.49,37.48,37.48,3.44
2024-03-12 03:19:00,37.48,37.48,37.48,37.48,6.66
2024-03-12 03:20:00,37.5,37.5,37.5,37.5,1.0
2024-03-12 03:21:00,37.48,37.48,37.44,37.44,2.28
2024-03-12 03:22:00,37.43,37.44,37.37,37.37,11.0
2024-03-12 03:23:00,37.37,37.37,37.1,37.22,185.37
2024-03-12 03:24:00,37.17,37.24,37.17,37.23,22.88
2024-03-12 03:25:00,37.28,37.28,37.04,37.15,363.35
2024-03-12 03:26:00,37.19,37.21,37.13,37.17,50.56
2024-03-12 03:27:00,37.18,37.18,37.18,37.18,2.99
2024-03-12 03:28:00,37.16,37.16,37.12,37.15,71.04
2024-03-12 03:29:00,37.12,37.12,37.09,37.09,19.11
2024-03-12 03:30:00,37.09,37.09,37.03,37.03,79.22
