Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,8.233,8.255,8.218,8.254,5054.26
2024-03-12 02:30:00,8.257,8.265,8.249,8.253,496.02
2024-03-12 02:31:00,8.254,8.256,8.225,8.232,1334.74
2024-03-12 02:32:00,8.231,8.24,8.218,8.227,1124.41
2024-03-12 02:33:00,8.228,8.229,8.226,8.226,130.71
2024-03-12 02:34:00,8.228,8.235,8.221,8.235,679.62
2024-03-12 02:35:00,8.235,8.245,8.235,8.239,218.55
2024-03-12 02:36:00,8.236,8.241,8.222,8.225,271.47
2024-03-12 02:37:00,8.228,8.231,8.221,8.224,85.14
2024-03-12 02:38:00,8.224,8.229,8.19,8.194,4562.78
2024-03-12 02:39:00,8.194,8.212,8.191,8.206,1709.36
2024-03-12 02:40:00,8.203,8.242,8.203,8.225,2046.72
2024-03-12 02:41:00,8.223,8.246,8.223,8.244,3414.11
2024-03-12 02:42:00,8.242,8.245,8.23,8.231,265.68
2024-03-12 02:43:00,8.23,8.241,8.215,8.241,2500.6
2024-03-12 02:44:00,8.24,8.241,8.181,8.219,1545.72
2024-03-12 02:45:00,8.22,8.224,8.203,8.218,78.84
2024-03-12 02:46:00,8.218,8.218,8.199,8.208,226.5
2024-03-12 02:47:00,8.212,8.243,8.212,8.243,627.48
2024-03-12 02:48:00,8.243,8.274,8.243,8.271,1479.16
2024-03-12 02:49:00,8.271,8.287,8.271,8.287,941.8
2024-03-12 02:50:00,8.284,8.286,8.275,8.284,137.99
2024-03-12 02:51:00,8.286,8.287,8.282,8.283,117.78
2024-03-12 02:52:00,8.283,8.283,8.265,8.269,282.45
2024-03-12 02:53:00,8.269,8.277,8.266,8.277,77.81
2024-03-12 02:54:00,8.277,8.286,8.228,8.254,1852.5
2024-03-12 02:55:00,8.254,8.254,8.245,8.252,135.78
2024-03-12 02:56:00,8.252,8.255,8.252,8.254,21.73
2024-03-12 02:57:00,8.251,8.254,8.251,8.254,73.18
2024-03-12 02:58:00,8.255,8.279,8.255,8.273,992.58
2024-03-12 02:59:00,8.273,8.292,8.273,8.283,321.23
2024-03-12 03:00:00,8.285,8.285,8.283,8.284,13.98
2024-03-12 03:01:00,8.284,8.284,8.284,8.284,0.0
2024-03-12 03:02:00,8.283,8.292,8.281,8.292,79.18
2024-03-12 03:03:00,8.291,8.299,8.291,8.299,269.06
2024-03-12 03:04:00,8.293,8.293,8.283,8.284,27.77
2024-03-12 03:05:00,8.284,8.288,8.278,8.278,491.53
2024-03-12 03:06:00,8.279,8.279,8.278,8.278,188.14
2024-03-12 03:07:00,8.28,8.29,8.28,8.29,79.44
2024-03-12 03:08:00,8.286,8.286,8.28,8.281,190.82
2024-03-12 03:09:00,8.285,8.285,8.266,8.266,2323.16
2024-03-12 03:10:00,8.267,8.278,8.259,8.262,345.42
2024-03-12 03:11:00,8.262,8.265,8.258,8.261,52.78
2024-03-12 03:12:00,8.261,8.261,8.261,8.261,0.0
2024-03-12 03:13:00,8.259,8.259,8.257,8.257,14.56
2024-03-12 03:14:00,8.261,8.302,8.25,8.287,3290.32
2024-03-12 03:15:00,8.284,8.284,8.282,8.284,23.73
2024-03-12 03:16:00,8.284,8.284,8.271,8.271,247.0
2024-03-12 03:17:00,8.274,8.279,8.274,8.274,63.5
2024-03-12 03:18:00,8.272,8.272,8.272,8.272,0.93
2024-03-12 03:19:00,8.271,8.274,8.25,8.261,854.99
