Time,Open,High,Low,Close,Volume
2022-12-26 10:20:00,4.44,4.46,4.42,4.44,893.91
2022-12-26 10:21:00,4.41,4.46,4.4,4.46,2680.7
2022-12-26 10:22:00,4.46,4.48,4.43,4.46,1152.9
2022-12-26 10:23:00,4.43,4.46,4.43,4.46,109.99
2022-12-26 10:24:00,4.43,4.47,4.43,4.47,338.75
2022-12-26 10:25:00,4.44,4.45,4.42,4.45,556.07
2022-12-26 10:26:00,4.45,4.45,4.42,4.43,260.56
2022-12-26 10:27:00,4.43,4.45,4.41,4.45,951.05
2022-12-26 10:28:00,4.46,4.46,4.43,4.43,1423.64
2022-12-26 10:29:00,4.44,4.44,4.42,4.42,153.12
2022-12-26 10:30:00,4.42,4.44,4.42,4.42,165.03
2022-12-26 10:31:00,4.44,4.44,4.41,4.41,292.92
2022-12-26 10:32:00,4.42,4.42,4.4,4.41,485.57
2022-12-26 10:33:00,4.42,4.42,4.41,4.41,110.3
2022-12-26 10:34:00,4.43,4.44,4.4,4.42,265.19
2022-12-26 10:35:00,4.41,4.41,4.4,4.4,162.47
2022-12-26 10:36:00,4.4,4.4,4.38,4.4,339.91
2022-12-26 10:37:00,4.4,4.42,4.39,4.4,317.43
2022-12-26 10:38:00,4.39,4.41,4.37,4.41,227.53
2022-12-26 10:39:00,4.37,4.41,4.36,4.38,463.27
2022-12-26 10:40:00,4.38,4.39,4.36,4.38,762.24
2022-12-26 10:41:00,4.39,4.39,4.36,4.37,349.78
2022-12-26 10:42:00,4.36,4.37,4.36,4.37,85.58
2022-12-26 10:43:00,4.36,4.37,4.34,4.35,691.43
2022-12-26 10:44:00,4.36,4.36,4.34,4.36,315.46
2022-12-26 10:45:00,4.35,4.36,4.35,4.35,210.07
2022-12-26 10:46:00,4.37,4.38,4.37,4.38,70.35
2022-12-26 10:47:00,4.37,4.42,4.37,4.42,1280.52
2022-12-26 10:48:00,4.42,4.45,4.41,4.45,1172.51
2022-12-26 10:49:00,4.43,4.44,4.42,4.42,646.06
2022-12-26 10:50:00,4.44,4.44,4.43,4.44,462.57
2022-12-26 10:51:00,4.45,4.45,4.44,4.45,287.17
2022-12-26 10:52:00,4.44,4.44,4.4,4.41,1889.0
2022-12-26 10:53:00,4.4,4.41,4.39,4.39,938.14
2022-12-26 10:54:00,4.38,4.38,4.35,4.37,591.82
2022-12-26 10:55:00,4.36,4.4,4.36,4.38,394.16
2022-12-26 10:56:00,4.38,4.41,4.38,4.4,679.5
2022-12-26 10:57:00,4.4,4.4,4.39,4.39,58.51
2022-12-26 10:58:00,4.41,4.41,4.38,4.38,28.99
2022-12-26 10:59:00,4.39,4.39,4.39,4.39,19.33
2022-12-26 11:00:00,4.38,4.39,4.38,4.39,230.58
2022-12-26 11:01:00,4.41,4.44,4.41,4.44,2577.84
2022-12-26 11:02:00,4.44,4.47,4.43,4.45,1495.86
2022-12-26 11:03:00,4.47,4.48,4.41,4.42,757.35
2022-12-26 11:04:00,4.43,4.47,4.43,4.44,198.45
2022-12-26 11:05:00,4.44,4.47,4.44,4.46,610.44
2022-12-26 11:06:00,4.44,4.46,4.44,4.46,307.24
2022-12-26 11:07:00,4.46,4.46,4.45,4.45,111.44
2022-12-26 11:08:00,4.45,4.47,4.43,4.47,260.19
2022-12-26 11:09:00,4.47,4.48,4.46,4.46,115.07
2022-12-26 11:10:00,4.46,4.51,4.46,4.51,929.52
2022-12-26 11:11:00,4.51,4.53,4.47,4.48,1329.6
2022-12-26 11:12:00,4.51,4.52,4.44,4.44,808.62
2022-12-26 11:13:00,4.43,4.46,4.42,4.44,201.74
2022-12-26 11:14:00,4.43,4.45,4.41,4.41,1065.86
2022-12-26 11:15:00,4.41,4.47,4.41,4.47,1167.63
2022-12-26 11:16:00,4.47,4.47,4.44,4.44,228.99
2022-12-26 11:17:00,4.44,4.44,4.42,4.42,355.25
2022-12-26 11:18:00,4.41,4.43,4.41,4.41,867.68
2022-12-26 11:19:00,4.44,4.44,4.41,4.41,226.29
2022-12-26 11:20:00,4.41,4.43,4.4,4.4,1068.9
2022-12-26 11:21:00,4.39,4.4,4.39,4.39,178.09
