Time,Open,High,Low,Close,Volume
2024-03-12 02:29:00,35.03,35.06,35.0,35.05,354.726
2024-03-12 02:30:00,35.03,35.11,35.03,35.1,176.551
2024-03-12 02:31:00,35.1,35.11,35.09,35.11,35.233
2024-03-12 02:32:00,35.11,35.11,35.06,35.11,43.843
2024-03-12 02:33:00,35.11,35.11,35.09,35.09,40.58
2024-03-12 02:34:00,35.09,35.09,35.04,35.09,38.184
2024-03-12 02:35:00,35.1,35.1,35.05,35.05,58.492
2024-03-12 02:36:00,35.01,35.03,34.99,35.01,52.827
2024-03-12 02:37:00,35.02,35.03,35.01,35.02,14.032
2024-03-12 02:38:00,35.0,35.0,34.99,34.99,37.382
2024-03-12 02:39:00,35.0,35.04,34.99,35.04,26.856
2024-03-12 02:40:00,35.01,35.05,35.01,35.05,27.005
2024-03-12 02:41:00,35.05,35.1,35.05,35.09,79.172
2024-03-12 02:42:00,35.05,35.05,35.01,35.01,57.466
2024-03-12 02:43:00,35.03,35.05,35.03,35.05,16.426
2024-03-12 02:44:00,35.08,35.09,35.06,35.06,13.498
2024-03-12 02:45:00,35.06,35.06,35.06,35.06,4.768
2024-03-12 02:46:00,35.05,35.06,35.03,35.06,45.252
2024-03-12 02:47:00,35.07,35.07,35.03,35.06,99.423
2024-03-12 02:48:00,35.06,35.06,35.05,35.06,118.606
2024-03-12 02:49:00,35.05,35.05,35.02,35.02,23.263
2024-03-12 02:50:00,35.03,35.08,35.03,35.08,19.661
2024-03-12 02:51:00,35.05,35.05,35.03,35.04,52.69
2024-03-12 02:52:00,35.03,35.03,35.0,35.0,119.819
2024-03-12 02:53:00,35.01,35.02,35.01,35.01,29.136
2024-03-12 02:54:00,35.01,35.01,35.01,35.01,5.864
2024-03-12 02:55:00,35.02,35.04,35.02,35.02,13.413
2024-03-12 02:56:00,35.02,35.02,35.02,35.02,0.0
2024-03-12 02:57:00,35.01,35.01,35.01,35.01,2.797
2024-03-12 02:58:00,35.02,35.02,35.01,35.01,35.154
2024-03-12 02:59:00,35.01,35.01,34.99,34.99,68.201
2024-03-12 03:00:00,34.99,34.99,34.97,34.99,48.073
2024-03-12 03:01:00,35.0,35.04,35.0,35.01,71.91
2024-03-12 03:02:00,35.02,35.05,35.02,35.05,260.195
2024-03-12 03:03:00,35.03,35.03,34.97,34.97,244.325
2024-03-12 03:04:00,34.97,34.97,34.97,34.97,22.541
2024-03-12 03:05:00,34.99,34.99,34.95,34.95,186.614
2024-03-12 03:06:00,34.95,34.97,34.95,34.96,29.195
2024-03-12 03:07:00,34.96,34.96,34.93,34.93,57.425
2024-03-12 03:08:00,34.93,34.96,34.92,34.94,87.986
2024-03-12 03:09:00,34.92,34.92,34.87,34.87,189.185
2024-03-12 03:10:00,34.87,34.91,34.85,34.86,216.764
2024-03-12 03:11:00,34.86,34.86,34.83,34.83,12.162
2024-03-12 03:12:00,34.84,34.84,34.8,34.83,47.488
2024-03-12 03:13:00,34.82,34.87,34.82,34.84,43.362
2024-03-12 03:14:00,34.85,34.87,34.84,34.87,17.385
2024-03-12 03:15:00,34.86,34.86,34.84,34.84,9.651
2024-03-12 03:16:00,34.84,34.87,34.71,34.76,765.432
2024-03-12 03:17:00,34.77,34.77,34.63,34.63,544.388
2024-03-12 03:18:00,34.63,34.66,34.56,34.58,357.674
2024-03-12 03:19:00,34.57,34.66,34.57,34.66,196.637
2024-03-12 03:20:00,34.68,34.69,34.66,34.66,89.869
2024-03-12 03:21:00,34.63,34.63,34.45,34.48,669.994
2024-03-12 03:22:00,34.46,34.46,34.31,34.35,825.011
2024-03-12 03:23:00,34.4,34.51,34.3,34.37,788.017
2024-03-12 03:24:00,34.37,34.6,34.37,34.6,84.025
2024-03-12 03:25:00,34.59,34.6,34.51,34.56,143.856
2024-03-12 03:26:00,34.52,34.55,34.48,34.52,368.154
2024-03-12 03:27:00,34.52,34.57,34.52,34.57,99.828
2024-03-12 03:28:00,34.55,34.58,34.55,34.58,7.801
2024-03-12 03:29:00,34.59,34.59,34.49,34.49,149.068
2024-03-12 03:30:00,34.49,34.57,34.49,34.55,249.153
2024-03-12 03:31:00,34.55,34.59,34.55,34.59,258.059
2024-03-12 03:32:00,34.54,34.55,34.52,34.53,221.706
2024-03-12 03:33:00,34.56,34.64,34.56,34.61,846.403
2024-03-12 03:34:00,34.62,34.66,34.6,34.62,73.942
2024-03-12 03:35:00,34.61,34.66,34.61,34.66,39.587
2024-03-12 03:36:00,34.68,34.68,34.63,34.64,63.472
2024-03-12 03:37:00,34.62,34.67,34.6,34.62,230.952
